disease,cd_mun,nm_mun,model,mae,rmse,r2,smape,n
sifilis,3518800,Guarulhos,catboost,4.09,5.511,-0.303,29.23,16
sifilis,3518800,Guarulhos,deepar,4.471,5.847,-0.467,31.0,16
sifilis,3518800,Guarulhos,gru,5.168,7.05,-1.133,37.75,16
sifilis,3518800,Guarulhos,lgbm,4.423,5.568,-0.33,31.24,16
sifilis,3518800,Guarulhos,lstm,4.262,5.71,-0.399,29.77,16
sifilis,3518800,Guarulhos,nhits,6.078,7.306,-1.29,41.25,16
sifilis,3518800,Guarulhos,prophet,3.915,4.579,0.1,27.6,16
sifilis,3518800,Guarulhos,sarima,4.26,5.314,-0.212,29.47,16
sifilis,3518800,Guarulhos,seasonal_ma3,4.667,5.631,-0.36,33.21,16
sifilis,3518800,Guarulhos,seasonal_naive,5.938,6.924,-1.057,41.84,16
sifilis,3518800,Guarulhos,tft,4.447,5.972,-0.53,31.2,16
sifilis,3518800,Guarulhos,xgboost,4.184,5.425,-0.263,28.97,16
sifilis,3522208,Itapevi,catboost,0.593,0.746,-0.149,181.26,16
sifilis,3522208,Itapevi,deepar,0.549,0.686,0.028,163.18,16
sifilis,3522208,Itapevi,gru,0.375,0.791,-0.29,200.0,16
sifilis,3522208,Itapevi,lgbm,0.609,0.767,-0.214,181.59,16
sifilis,3522208,Itapevi,lstm,0.375,0.791,-0.29,200.0,16
sifilis,3522208,Itapevi,nhits,0.377,0.791,-0.29,200.0,16
sifilis,3522208,Itapevi,prophet,0.609,0.734,-0.113,177.35,16
sifilis,3522208,Itapevi,sarima,0.64,0.753,-0.171,177.67,16
sifilis,3522208,Itapevi,seasonal_ma3,0.833,0.979,-0.978,195.92,16
sifilis,3522208,Itapevi,seasonal_naive,0.75,1.173,-1.839,200.0,16
sifilis,3522208,Itapevi,tft,0.413,0.765,-0.208,197.08,16
sifilis,3522208,Itapevi,xgboost,0.614,0.755,-0.176,178.61,16
sifilis,3525904,Jundiaí,catboost,1.846,2.427,-0.352,65.9,16
sifilis,3525904,Jundiaí,deepar,1.729,2.311,-0.225,62.78,16
sifilis,3525904,Jundiaí,gru,2.413,3.401,-1.653,105.22,16
sifilis,3525904,Jundiaí,lgbm,1.845,2.418,-0.341,64.95,16
sifilis,3525904,Jundiaí,lstm,3.169,3.804,-2.32,180.43,16
sifilis,3525904,Jundiaí,nhits,2.776,3.477,-1.773,120.89,16
sifilis,3525904,Jundiaí,prophet,1.754,2.274,-0.186,59.99,16
sifilis,3525904,Jundiaí,sarima,1.83,2.298,-0.211,63.36,16
sifilis,3525904,Jundiaí,seasonal_ma3,1.875,2.541,-0.481,62.47,16
sifilis,3525904,Jundiaí,seasonal_naive,2.875,3.588,-1.953,88.75,16
sifilis,3525904,Jundiaí,tft,2.239,2.832,-0.839,86.55,16
sifilis,3525904,Jundiaí,xgboost,1.855,2.34,-0.256,65.48,16
sifilis,3529401,Mauá,catboost,0.816,1.268,-0.03,153.41,16
sifilis,3529401,Mauá,deepar,0.93,1.407,-0.267,156.64,16
sifilis,3529401,Mauá,gru,0.75,1.458,-0.36,200.0,16
sifilis,3529401,Mauá,lgbm,0.796,1.316,-0.108,157.57,16
sifilis,3529401,Mauá,lstm,0.75,1.458,-0.36,200.0,16
sifilis,3529401,Mauá,nhits,0.75,1.458,-0.36,200.0,16
sifilis,3529401,Mauá,prophet,0.813,1.28,-0.048,149.61,16
sifilis,3529401,Mauá,sarima,0.849,1.308,-0.094,151.87,16
sifilis,3529401,Mauá,seasonal_ma3,0.854,1.431,-0.311,141.09,16
sifilis,3529401,Mauá,seasonal_naive,0.812,1.479,-0.4,133.33,16
sifilis,3529401,Mauá,tft,0.753,1.445,-0.336,196.42,16
sifilis,3529401,Mauá,xgboost,0.818,1.328,-0.128,161.54,16
sifilis,3534401,Osasco,catboost,6.16,7.344,-0.269,57.01,16
sifilis,3534401,Osasco,deepar,6.093,7.161,-0.207,58.64,16
sifilis,3534401,Osasco,gru,7.149,8.667,-0.767,80.99,16
sifilis,3534401,Osasco,lgbm,5.57,6.528,-0.003,52.11,16
sifilis,3534401,Osasco,lstm,6.963,8.298,-0.62,74.99,16
sifilis,3534401,Osasco,nhits,5.543,6.818,-0.094,51.96,16
sifilis,3534401,Osasco,prophet,5.684,6.768,-0.078,51.33,16
sifilis,3534401,Osasco,sarima,5.456,6.497,0.007,50.46,16
sifilis,3534401,Osasco,seasonal_ma3,5.937,6.802,-0.089,58.25,16
sifilis,3534401,Osasco,seasonal_naive,7.562,8.577,-0.731,73.26,16
sifilis,3534401,Osasco,tft,5.968,7.107,-0.188,57.76,16
sifilis,3534401,Osasco,xgboost,5.613,6.673,-0.048,52.64,16
sifilis,3536505,Paulínia,catboost,0.224,0.268,-0.227,195.6,16
sifilis,3536505,Paulínia,deepar,0.577,0.658,-6.395,188.1,16
sifilis,3536505,Paulínia,gru,0.063,0.25,-0.067,200.0,16
sifilis,3536505,Paulínia,lgbm,0.169,0.257,-0.125,197.89,16
sifilis,3536505,Paulínia,lstm,0.063,0.25,-0.067,200.0,16
sifilis,3536505,Paulínia,nhits,0.063,0.25,-0.067,200.0,16
sifilis,3536505,Paulínia,prophet,0.216,0.306,-0.595,197.01,16
sifilis,3536505,Paulínia,sarima,0.172,0.255,-0.107,197.69,16
sifilis,3536505,Paulínia,seasonal_ma3,0.167,0.312,-0.659,200.0,16
sifilis,3536505,Paulínia,seasonal_naive,0.125,0.354,-1.133,200.0,16
sifilis,3536505,Paulínia,tft,0.063,0.25,-0.067,200.0,16
sifilis,3536505,Paulínia,xgboost,0.16,0.255,-0.108,197.93,16
sifilis,3541000,Praia Grande,catboost,4.268,5.712,-0.407,42.15,16
sifilis,3541000,Praia Grande,deepar,6.043,7.525,-1.442,61.22,16
sifilis,3541000,Praia Grande,gru,6.304,7.565,-1.468,66.41,16
sifilis,3541000,Praia Grande,lgbm,4.443,5.605,-0.355,43.72,16
sifilis,3541000,Praia Grande,lstm,5.853,7.022,-1.127,58.29,16
sifilis,3541000,Praia Grande,nhits,4.348,5.363,-0.241,35.31,16
sifilis,3541000,Praia Grande,prophet,4.041,5.212,-0.172,38.42,16
sifilis,3541000,Praia Grande,sarima,3.481,4.541,0.11,31.54,16
sifilis,3541000,Praia Grande,seasonal_ma3,4.979,6.358,-0.744,48.95,16
sifilis,3541000,Praia Grande,seasonal_naive,5.125,6.031,-0.569,49.04,16
sifilis,3541000,Praia Grande,tft,5.459,6.527,-0.837,57.26,16
sifilis,3541000,Praia Grande,xgboost,4.242,5.326,-0.224,43.3,16
sifilis,3543402,Ribeirão Preto,catboost,1.831,2.88,-0.006,51.01,16
sifilis,3543402,Ribeirão Preto,deepar,2.924,4.133,-1.072,78.89,16
sifilis,3543402,Ribeirão Preto,gru,3.635,4.712,-1.693,92.84,16
sifilis,3543402,Ribeirão Preto,lgbm,1.827,2.948,-0.054,48.69,16
sifilis,3543402,Ribeirão Preto,lstm,2.426,3.18,-0.227,59.39,16
sifilis,3543402,Ribeirão Preto,nhits,3.69,4.64,-1.611,101.72,16
sifilis,3543402,Ribeirão Preto,prophet,2.031,2.869,0.002,53.28,16
sifilis,3543402,Ribeirão Preto,sarima,1.676,2.611,0.173,46.19,16
sifilis,3543402,Ribeirão Preto,seasonal_ma3,2.5,3.385,-0.39,65.84,16
sifilis,3543402,Ribeirão Preto,seasonal_naive,2.688,3.614,-0.584,73.99,16
sifilis,3543402,Ribeirão Preto,tft,2.545,3.268,-0.295,63.32,16
sifilis,3543402,Ribeirão Preto,xgboost,1.906,2.939,-0.048,50.66,16
sifilis,3547809,Santo André,catboost,2.747,3.347,-0.363,55.94,16
sifilis,3547809,Santo André,deepar,2.288,3.033,-0.12,47.12,16
sifilis,3547809,Santo André,gru,2.288,2.896,-0.021,47.92,16
sifilis,3547809,Santo André,lgbm,2.715,3.317,-0.339,56.53,16
sifilis,3547809,Santo André,lstm,2.357,2.922,-0.04,49.28,16
sifilis,3547809,Santo André,nhits,3.054,3.53,-0.517,79.29,16
sifilis,3547809,Santo André,prophet,2.848,3.431,-0.433,55.66,16
sifilis,3547809,Santo André,sarima,2.813,3.46,-0.457,55.02,16
sifilis,3547809,Santo André,seasonal_ma3,3.083,3.875,-0.828,62.95,16
sifilis,3547809,Santo André,seasonal_naive,3.062,3.666,-0.636,66.56,16
sifilis,3547809,Santo André,tft,2.667,3.115,-0.181,56.03,16
sifilis,3547809,Santo André,xgboost,2.678,3.462,-0.459,55.23,16
sifilis,3548500,Santos,catboost,1.611,2.029,-0.167,40.64,16
sifilis,3548500,Santos,deepar,2.693,3.781,-3.053,73.62,16
sifilis,3548500,Santos,gru,2.427,2.858,-1.316,68.64,16
sifilis,3548500,Santos,lgbm,1.709,2.027,-0.165,42.7,16
sifilis,3548500,Santos,lstm,3.096,4.432,-4.569,55.66,16
