model,disease,horizon,mae,rmse,r2,smape,recall_nz,precision_nz,mae_std_origin,mae_std_seed
lstm,sifilis,6,3.4469323358560127,5.541752769610374,0.841321093570036,112.381588014505,0.7534246575342466,0.9016393442622952,1.1966200412392112,
nhits,sifilis,6,2.9939025057106305,4.166733291463367,0.910295070350557,104.83829032896416,0.7808219178082192,0.9047619047619048,0.6346996454549868,
prophet,sifilis,6,2.527546587764818,3.596302587692504,0.9250746686269856,82.79692019115936,0.958904109589041,0.8974358974358975,0.3947600499971307,
sarima,sifilis,6,2.32677432101058,3.3339378548182186,0.932092354861336,81.18038297039126,0.9452054794520548,0.8734177215189873,0.6699785729367242,
seasonal_ma3,sifilis,6,2.6449275975641995,3.9141067675014702,0.9177169390562372,72.41170929839801,0.958904109589041,0.8860759493670886,0.4422071469570117,
seasonal_naive,sifilis,6,3.4130434782608696,4.865191843675133,0.8731462820814258,83.83109627003488,0.9041095890410958,0.9041095890410958,0.5596154949654443,
tft,sifilis,6,2.6511987497899208,3.843391764254792,0.923677213969037,100.61554858406905,0.8493150684931506,0.8985507246376812,0.7176205924575837,
xgboost,sifilis,6,2.3186432189591555,3.218090029961374,0.93609624828188,83.94094520654517,0.9315068493150684,0.8947368421052632,0.7395347981834476,
catboost,sifilis,12,2.9668194289900875,5.612344011121094,0.8240671736470142,80.96720528976832,0.96,0.96,0.483677568113478,
deepar,sifilis,12,3.311086970867346,5.652117705000261,0.8506795914364558,95.79652517268492,0.92,0.8625,0.8401834218205025,
gru,sifilis,12,4.0030175641857255,6.938598770903621,0.7749700496312776,103.71401136830882,0.84,0.9692307692307692,0.4854362222665861,
lgbm,sifilis,12,2.931885798812364,5.450071447931581,0.8384108539751769,82.28364200496021,0.9466666666666668,0.9594594594594594,0.3866996894391887,
lstm,sifilis,12,3.661405844638133,6.331237315416927,0.8126412587833253,109.03756039373688,0.8,0.967741935483871,0.4357758195809523,
nhits,sifilis,12,4.2113041138447365,6.812333913100945,0.7830854775503536,108.93553845378634,0.8,0.9523809523809524,0.7185436002754922,
prophet,sifilis,12,3.135601628521468,5.841658882215734,0.5916107949752079,81.52516711038606,0.9466666666666668,0.9342105263157896,0.7222611595248002,
sarima,sifilis,12,3.2903131690362226,6.287424369485253,0.5517897416563353,80.61480819227849,0.96,0.9230769230769232,0.6736413773203118,
seasonal_ma3,sifilis,12,3.413043534626132,6.3644552741586855,0.6011575448897897,80.60610678287438,0.9466666666666668,0.8875,0.7120156866914693,
seasonal_naive,sifilis,12,3.880434782608696,6.459933038657704,0.5888422571815783,76.67437238364748,0.92,0.9324324324324323,0.7925098318938342,
tft,sifilis,12,3.598212858621052,6.459841044265938,0.8049524777085513,97.65939494473623,0.8933333333333333,0.9710144927536232,0.4475310330939612,
xgboost,sifilis,12,3.132007494811779,5.791500289428777,0.7837497669457597,83.127646902618,0.9466666666666668,0.9466666666666668,0.3179525673159002,
