model,disease,horizon,n,mae,rmse,r2,smape,mape,origin
xgboost,hanseniase,1,23,0.24851984773641048,0.41132663122336477,0.26638281060791613,189.30358450169504,24.748143634718396,origin_202212
prophet,hanseniase,1,23,0.30616538559806256,0.5359916488975703,-0.2456954772698221,188.10609287246027,28.90003379130456,origin_202212
seasonal_naive,hanseniase,3,23,0.5652173913043478,1.0,-1.4719626168224287,200.0,47.82608695652174,origin_202212
seasonal_ma3,hanseniase,3,23,0.4347826125829116,0.8340576650317688,-0.7196262045255704,176.36363610354337,37.681159809015796,origin_202212
sarima,hanseniase,3,23,0.5575359374811144,1.0798923936683926,-1.882722667414055,197.997008253642,48.18979533780636,origin_202212
lgbm,hanseniase,3,23,0.4198058061904744,0.8192909536042223,-0.6592744189809887,195.19097651861887,34.10843436637114,origin_202212
catboost,hanseniase,3,23,0.42726005253361105,0.8217797531779157,-0.6693706461955113,194.4046687018499,34.96463181968698,origin_202212
xgboost,hanseniase,3,23,0.44855961754270224,0.8626559760139402,-0.8395736034201216,194.30423705092156,37.00684022860251,origin_202212
prophet,hanseniase,3,23,0.49090264186846083,0.9342424525080115,-1.1575511209162115,194.65618578385636,43.56514699324019,origin_202212
seasonal_naive,hanseniase,6,23,1.0,3.7935872664044634,-27.837121212121207,160.60606060606062,56.52173913043478,origin_202212
seasonal_ma3,hanseniase,6,23,0.5507246450237606,1.2664378422573372,-2.2138048620888298,150.4761901416746,36.95652212785638,origin_202212
sarima,hanseniase,6,23,0.5153523556212388,1.0054507949373006,-1.0256918873113112,179.85438830053076,45.06458506284221,origin_202212
lgbm,hanseniase,6,23,0.3222169252753199,0.5396031437279288,0.4165539720096866,174.66557470985634,26.131346736920165,origin_202212
catboost,hanseniase,6,23,0.38041899248601113,0.5715884232773771,0.34533579827471284,177.35201881874625,31.02451171339033,origin_202212
xgboost,hanseniase,6,23,0.34667621139922866,0.5511061481861516,0.3914135799440269,175.57356140419026,28.13102402926787,origin_202212
prophet,hanseniase,6,23,0.48123523750183794,0.8730954931950293,-0.5274789643394786,173.3012965023509,37.87870600245421,origin_202212
seasonal_naive,hanseniase,12,23,0.391304347826087,0.6915640748081247,-0.8602941176470595,160.0,34.78260869565217,origin_202212
seasonal_ma3,hanseniase,12,23,0.4347826164701711,0.7485896716262945,-1.1797386516932589,164.1025641025641,41.30434860353884,origin_202212
sarima,hanseniase,12,23,0.5534686894439484,1.0910619281231342,-3.6303686271976403,183.55695894522745,51.83149804158703,origin_202212
