model,disease,horizon,mae,rmse,smape
catboost,hanseniase,1,0.3726796850296291,0.7414588303664817,186.50025338884203
catboost,hanseniase,3,0.4255570612616673,0.7080580657690831,182.37067471316738
catboost,hanseniase,6,0.5305443231187768,1.3842431664389563,182.37014336871692
catboost,hanseniase,12,0.40415130567209334,0.6995394368153065,170.2801173733834
catboost,hepatite,1,0.23235085497166919,0.46989537432123163,186.8069997389263
catboost,hepatite,3,0.2929033105113137,0.7934507403170085,185.87689456125068
catboost,hepatite,6,0.30304952061333246,0.5779132120163444,184.6634494960723
catboost,hepatite,12,0.2627785104145394,0.6305223804394554,185.4584356513825
catboost,hiv_aids,1,3.037609862573256,7.3148067076816,71.99800204104928
catboost,hiv_aids,3,2.21017902303262,3.8937290515390184,85.35260002461109
catboost,hiv_aids,6,2.232462828328044,3.521935194763743,91.14577971721752
catboost,hiv_aids,12,2.504655661701287,4.145531528223686,80.91068035093919
catboost,sifilis,1,2.80757135534787,5.817510830526169,82.61522153910899
catboost,sifilis,3,2.9681470371416134,5.509826403325105,85.16413140546675
catboost,sifilis,6,2.4845684489670603,3.787204605228305,81.25630198944896
catboost,sifilis,12,2.9668194289900875,5.612344011121094,80.96720528976832
catboost,tuberculose,1,3.0383643874879427,5.061912967284762,67.60582718414781
catboost,tuberculose,3,2.9221565262442937,5.346647571671627,57.88831394284979
catboost,tuberculose,6,2.733911762252479,4.9945031087012595,59.2556594746907
catboost,tuberculose,12,2.8589965469399536,4.786807399987152,62.03480491580116
lgbm,hanseniase,1,0.3579225966134792,0.821893300114421,186.99544766780707
lgbm,hanseniase,3,0.433091490457503,0.7609551332297051,182.78374854353402
lgbm,hanseniase,6,0.5049113793285464,1.398753391952515,180.38988932431016
lgbm,hanseniase,12,0.40390406935311285,0.7332179833227621,170.82727555359162
lgbm,hepatite,1,0.2306132335766975,0.5187696703277143,187.6964210915985
lgbm,hepatite,3,0.29548252105385064,0.8452260414454157,185.58565722085427
