disease,model,origin,horizon,feature,importance,importance_norm
hanseniase,catboost,origin_201912,1,dens_demog,3.1147745098291715,0.03114774509829171
hanseniase,catboost,origin_201912,1,ppc,5.816641860952814,0.05816641860952813
hanseniase,catboost,origin_201912,1,urbanizacao,3.056235224339134,0.030562352243391336
hanseniase,catboost,origin_201912,1,tgt_month,0.5900828890471997,0.005900828890471997
hanseniase,catboost,origin_201912,1,mun_id,2.8675772521044878,0.028675772521044873
hanseniase,xgboost,origin_201912,1,n_hanseniase_l0,0.12917473912239075,0.12917475402355194
hanseniase,xgboost,origin_201912,1,n_hanseniase_l1,0.0644548311829567,0.06445483863353729
hanseniase,xgboost,origin_201912,1,n_hanseniase_l2,0.006025271024554968,0.006025271490216255
hanseniase,xgboost,origin_201912,1,n_hanseniase_l3,0.0018346821889281273,0.0018346823053434491
hanseniase,xgboost,origin_201912,1,n_hanseniase_l6,0.047156743705272675,0.04715674743056297
hanseniase,xgboost,origin_201912,1,n_hanseniase_l12,0.001896530156955123,0.0018965302733704448
hanseniase,xgboost,origin_201912,1,n_hanseniase_l13,0.0019594363402575254,0.001959436573088169
hanseniase,xgboost,origin_201912,1,n_hanseniase_r3,0.5007255673408508,0.5007256269454956
hanseniase,xgboost,origin_201912,1,n_hanseniase_r6,0.14796046912670135,0.14796048402786255
hanseniase,xgboost,origin_201912,1,n_hanseniase_r12,0.044952861964702606,0.044952865689992905
hanseniase,xgboost,origin_201912,1,evapot_l0,0.0017532319761812687,0.0017532320925965905
hanseniase,xgboost,origin_201912,1,evapot_l1,0.0012383427238091826,0.0012383428402245045
hanseniase,xgboost,origin_201912,1,evapot_l3,0.0017460549715906382,0.00174605508800596
hanseniase,xgboost,origin_201912,1,evapot_l12,0.0018993217963725328,0.0018993219127878547
hanseniase,xgboost,origin_201912,1,precip_l0,0.0016455361619591713,0.0016455362783744931
hanseniase,xgboost,origin_201912,1,precip_l1,0.0016384910559281707,0.0016384911723434925
hanseniase,xgboost,origin_201912,1,precip_l3,0.0017310933908447623,0.0017310935072600842
hanseniase,xgboost,origin_201912,1,precip_l12,0.0016539853531867266,0.0016539854696020484
hanseniase,xgboost,origin_201912,1,temp_min_l0,0.0016299368580803275,0.0016299369744956493
hanseniase,xgboost,origin_201912,1,temp_min_l1,0.0015096412971615791,0.001509641413576901
hanseniase,xgboost,origin_201912,1,temp_min_l3,0.001947508892044425,0.0019475090084597468
hanseniase,xgboost,origin_201912,1,temp_min_l12,0.0017127300379797816,0.0017127301543951035
hanseniase,xgboost,origin_201912,1,temp_max_l0,0.0018326591234654188,0.0018326592398807406
hanseniase,xgboost,origin_201912,1,temp_max_l1,0.0020395172759890556,0.0020395175088196993
hanseniase,xgboost,origin_201912,1,temp_max_l3,0.0018113725818693638,0.0018113726982846856
hanseniase,xgboost,origin_201912,1,temp_max_l12,0.0018263427773490548,0.0018263428937643766
hanseniase,xgboost,origin_201912,1,umid_l0,0.0017112393397837877,0.0017112394561991096
hanseniase,xgboost,origin_201912,1,umid_l1,0.0019639930687844753,0.001963993301615119
hanseniase,xgboost,origin_201912,1,umid_l3,0.0015487258788198233,0.001548725995235145
hanseniase,xgboost,origin_201912,1,umid_l12,0.0016823358600959182,0.00168233597651124
hanseniase,xgboost,origin_201912,1,populacao,0.0023566673044115305,0.002356667537242174
hanseniase,xgboost,origin_201912,1,dens_demog,0.0018260180950164795,0.0018260182114318013
hanseniase,xgboost,origin_201912,1,ppc,0.0026203941088169813,0.002620394341647625
hanseniase,xgboost,origin_201912,1,urbanizacao,0.001612551510334015,0.0016125516267493367
hanseniase,xgboost,origin_201912,1,tgt_month,0.0022685036528855562,0.0022685038857162
hanseniase,xgboost,origin_201912,1,mun_id,0.00865261536091566,0.008652616292238235
hanseniase,lgbm,origin_201912,3,n_hanseniase_l0,97.0,0.016166666666666666
hanseniase,lgbm,origin_201912,3,n_hanseniase_l1,62.0,0.010333333333333333
hanseniase,lgbm,origin_201912,3,n_hanseniase_l2,36.0,0.006
hanseniase,lgbm,origin_201912,3,n_hanseniase_l3,36.0,0.006
hanseniase,lgbm,origin_201912,3,n_hanseniase_l6,55.0,0.009166666666666667
hanseniase,lgbm,origin_201912,3,n_hanseniase_l12,40.0,0.006666666666666667
hanseniase,lgbm,origin_201912,3,n_hanseniase_l13,39.0,0.0065
hanseniase,lgbm,origin_201912,3,n_hanseniase_r3,111.0,0.0185
hanseniase,lgbm,origin_201912,3,n_hanseniase_r6,153.0,0.0255
hanseniase,lgbm,origin_201912,3,n_hanseniase_r12,220.0,0.03666666666666667
hanseniase,lgbm,origin_201912,3,evapot_l0,143.0,0.023833333333333335
hanseniase,lgbm,origin_201912,3,evapot_l1,187.0,0.031166666666666665
hanseniase,lgbm,origin_201912,3,evapot_l3,171.0,0.0285
hanseniase,lgbm,origin_201912,3,evapot_l12,175.0,0.029166666666666667
hanseniase,lgbm,origin_201912,3,precip_l0,190.0,0.03166666666666667
hanseniase,lgbm,origin_201912,3,precip_l1,194.0,0.03233333333333333
hanseniase,lgbm,origin_201912,3,precip_l3,299.0,0.049833333333333334
hanseniase,lgbm,origin_201912,3,precip_l12,229.0,0.03816666666666667
hanseniase,lgbm,origin_201912,3,temp_min_l0,169.0,0.028166666666666666
hanseniase,lgbm,origin_201912,3,temp_min_l1,182.0,0.030333333333333334
hanseniase,lgbm,origin_201912,3,temp_min_l3,203.0,0.03383333333333333
hanseniase,lgbm,origin_201912,3,temp_min_l12,160.0,0.02666666666666667
hanseniase,lgbm,origin_201912,3,temp_max_l0,173.0,0.028833333333333332
hanseniase,lgbm,origin_201912,3,temp_max_l1,174.0,0.029
hanseniase,lgbm,origin_201912,3,temp_max_l3,167.0,0.027833333333333335
hanseniase,lgbm,origin_201912,3,temp_max_l12,178.0,0.029666666666666668
hanseniase,lgbm,origin_201912,3,umid_l0,257.0,0.042833333333333334
hanseniase,lgbm,origin_201912,3,umid_l1,220.0,0.03666666666666667
hanseniase,lgbm,origin_201912,3,umid_l3,233.0,0.03883333333333333
hanseniase,lgbm,origin_201912,3,umid_l12,172.0,0.028666666666666667
hanseniase,lgbm,origin_201912,3,populacao,329.0,0.05483333333333333
hanseniase,lgbm,origin_201912,3,dens_demog,175.0,0.029166666666666667
hanseniase,lgbm,origin_201912,3,ppc,307.0,0.051166666666666666
hanseniase,lgbm,origin_201912,3,urbanizacao,132.0,0.022
hanseniase,lgbm,origin_201912,3,tgt_month,74.0,0.012333333333333333
hanseniase,lgbm,origin_201912,3,mun_id,258.0,0.043
hanseniase,catboost,origin_201912,3,n_hanseniase_l0,2.6732874069966113,0.026732874069966103
hanseniase,catboost,origin_201912,3,n_hanseniase_l1,2.14189045658268,0.021418904565826794
hanseniase,catboost,origin_201912,3,n_hanseniase_l2,1.913805334121185,0.019138053341211842
hanseniase,catboost,origin_201912,3,n_hanseniase_l3,0.9139647813816558,0.009139647813816555
hanseniase,catboost,origin_201912,3,n_hanseniase_l6,0.8170798557766257,0.008170798557766253
hanseniase,catboost,origin_201912,3,n_hanseniase_l12,0.7928227989878391,0.007928227989878389
hanseniase,catboost,origin_201912,3,n_hanseniase_l13,0.567994746375585,0.005679947463755847
hanseniase,catboost,origin_201912,3,n_hanseniase_r3,3.0925973491689445,0.03092597349168943
hanseniase,catboost,origin_201912,3,n_hanseniase_r6,10.829905377944751,0.10829905377944747
hanseniase,catboost,origin_201912,3,n_hanseniase_r12,18.925014866978742,0.18925014866978734
hanseniase,catboost,origin_201912,3,evapot_l0,1.1612625277236521,0.011612625277236516
hanseniase,catboost,origin_201912,3,evapot_l1,1.6911042625024129,0.01691104262502412
hanseniase,catboost,origin_201912,3,evapot_l3,1.1723302833475184,0.01172330283347518
hanseniase,catboost,origin_201912,3,evapot_l12,1.1806682608720396,0.01180668260872039
hanseniase,catboost,origin_201912,3,precip_l0,1.5367393684572233,0.015367393684572225
hanseniase,catboost,origin_201912,3,precip_l1,1.2046992166668622,0.012046992166668618
hanseniase,catboost,origin_201912,3,precip_l3,2.059816285822076,0.02059816285822075
hanseniase,catboost,origin_201912,3,precip_l12,2.5973154669659677,0.025973154669659666
hanseniase,catboost,origin_201912,3,temp_min_l0,1.601001770807599,0.016010017708075985
hanseniase,catboost,origin_201912,3,temp_min_l1,1.6481618545027508,0.016481618545027502
hanseniase,catboost,origin_201912,3,temp_min_l3,2.982639751584998,0.029826397515849968
hanseniase,catboost,origin_201912,3,temp_min_l12,1.123981003910199,0.011239810039101985
hanseniase,catboost,origin_201912,3,temp_max_l0,0.6469063153159132,0.00646906315315913
hanseniase,catboost,origin_201912,3,temp_max_l1,1.945262245244534,0.019452622452445334
hanseniase,catboost,origin_201912,3,temp_max_l3,1.960962175797353,0.01960962175797352
hanseniase,catboost,origin_201912,3,temp_max_l12,1.3616337904677305,0.0136163379046773
hanseniase,catboost,origin_201912,3,umid_l0,1.125964720698437,0.011259647206984365
hanseniase,catboost,origin_201912,3,umid_l1,1.6678329774352134,0.016678329774352126
hanseniase,catboost,origin_201912,3,umid_l3,1.990688959897009,0.019906889598970082
hanseniase,catboost,origin_201912,3,umid_l12,2.1306357608176048,0.02130635760817604
hanseniase,catboost,origin_201912,3,populacao,6.388074212823253,0.0638807421282325
hanseniase,catboost,origin_201912,3,dens_demog,3.276326697639998,0.03276326697639997
hanseniase,catboost,origin_201912,3,ppc,5.224465330177402,0.052244653301774
hanseniase,catboost,origin_201912,3,urbanizacao,3.0970940221128953,0.03097094022112894
hanseniase,catboost,origin_201912,3,tgt_month,0.7858723823399536,0.007858723823399532
hanseniase,catboost,origin_201912,3,mun_id,5.770197381754823,0.057701973817548206
hanseniase,xgboost,origin_201912,3,n_hanseniase_l0,0.1375197321176529,0.1375197172164917
hanseniase,xgboost,origin_201912,3,n_hanseniase_l1,0.12522760033607483,0.12522758543491364
hanseniase,xgboost,origin_201912,3,n_hanseniase_l2,0.004553426522761583,0.004553426057100296
hanseniase,xgboost,origin_201912,3,n_hanseniase_l3,0.0017734509892761707,0.001773450756445527
hanseniase,xgboost,origin_201912,3,n_hanseniase_l6,0.0022880719043314457,0.002288071671500802
hanseniase,xgboost,origin_201912,3,n_hanseniase_l12,0.002197579015046358,0.0021975787822157145
hanseniase,xgboost,origin_201912,3,n_hanseniase_l13,0.0019234678475186229,0.0019234676146879792
hanseniase,xgboost,origin_201912,3,n_hanseniase_r3,0.13792532682418823,0.13792531192302704
hanseniase,xgboost,origin_201912,3,n_hanseniase_r6,0.30005645751953125,0.30005642771720886
hanseniase,xgboost,origin_201912,3,n_hanseniase_r12,0.1938941925764084,0.193894162774086
hanseniase,xgboost,origin_201912,3,evapot_l0,0.0023693465627729893,0.0023693463299423456
hanseniase,xgboost,origin_201912,3,evapot_l1,0.002109647961333394,0.0021096477285027504
hanseniase,xgboost,origin_201912,3,evapot_l3,0.0023259504232555628,0.002325950190424919
hanseniase,xgboost,origin_201912,3,evapot_l12,0.0019998226780444384,0.0019998224452137947
hanseniase,xgboost,origin_201912,3,precip_l0,0.0023548167664557695,0.002354816533625126
hanseniase,xgboost,origin_201912,3,precip_l1,0.001985612791031599,0.0019856125582009554
hanseniase,xgboost,origin_201912,3,precip_l3,0.0022983523085713387,0.002298352075740695
hanseniase,xgboost,origin_201912,3,precip_l12,0.002606303198263049,0.0026063029654324055
hanseniase,xgboost,origin_201912,3,temp_min_l0,0.002226641634479165,0.0022266414016485214
hanseniase,xgboost,origin_201912,3,temp_min_l1,0.002398607786744833,0.0023986075539141893
hanseniase,xgboost,origin_201912,3,temp_min_l3,0.002168727805837989,0.002168727573007345
hanseniase,xgboost,origin_201912,3,temp_min_l12,0.002212965628132224,0.0022129653953015804
hanseniase,xgboost,origin_201912,3,temp_max_l0,0.0021199919283390045,0.002119991695508361
hanseniase,xgboost,origin_201912,3,temp_max_l1,0.0023766043595969677,0.002376604126766324
hanseniase,xgboost,origin_201912,3,temp_max_l3,0.0026411537546664476,0.002641153521835804
hanseniase,xgboost,origin_201912,3,temp_max_l12,0.0022086617536842823,0.0022086615208536386
hanseniase,xgboost,origin_201912,3,umid_l0,0.0023563250433653593,0.0023563248105347157
hanseniase,xgboost,origin_201912,3,umid_l1,0.0023652331437915564,0.0023652329109609127
hanseniase,xgboost,origin_201912,3,umid_l3,0.002331716241315007,0.0023317160084843636
hanseniase,xgboost,origin_201912,3,umid_l12,0.002085453364998102,0.0020854531321674585
hanseniase,xgboost,origin_201912,3,populacao,0.0033161831088364124,0.003316182643175125
hanseniase,xgboost,origin_201912,3,dens_demog,0.0028415087144821882,0.0028415084816515446
hanseniase,xgboost,origin_201912,3,ppc,0.005815694108605385,0.0058156936429440975
hanseniase,xgboost,origin_201912,3,urbanizacao,0.002526594791561365,0.0025265945587307215
hanseniase,xgboost,origin_201912,3,tgt_month,0.0024878643453121185,0.002487864112481475
hanseniase,xgboost,origin_201912,3,mun_id,0.030110962688922882,0.030110958963632584
hanseniase,lgbm,origin_201912,6,n_hanseniase_l0,45.0,0.0075
hanseniase,lgbm,origin_201912,6,n_hanseniase_l1,63.0,0.0105
hanseniase,lgbm,origin_201912,6,n_hanseniase_l2,35.0,0.005833333333333334
hanseniase,lgbm,origin_201912,6,n_hanseniase_l3,51.0,0.0085
hanseniase,lgbm,origin_201912,6,n_hanseniase_l6,51.0,0.0085
hanseniase,lgbm,origin_201912,6,n_hanseniase_l12,31.0,0.005166666666666667
hanseniase,lgbm,origin_201912,6,n_hanseniase_l13,61.0,0.010166666666666666
hanseniase,lgbm,origin_201912,6,n_hanseniase_r3,61.0,0.010166666666666666
hanseniase,lgbm,origin_201912,6,n_hanseniase_r6,125.0,0.020833333333333332
hanseniase,lgbm,origin_201912,6,n_hanseniase_r12,252.0,0.042
hanseniase,lgbm,origin_201912,6,evapot_l0,142.0,0.023666666666666666
hanseniase,lgbm,origin_201912,6,evapot_l1,175.0,0.029166666666666667
hanseniase,lgbm,origin_201912,6,evapot_l3,133.0,0.022166666666666668
hanseniase,lgbm,origin_201912,6,evapot_l12,161.0,0.026833333333333334
hanseniase,lgbm,origin_201912,6,precip_l0,248.0,0.04133333333333333
hanseniase,lgbm,origin_201912,6,precip_l1,213.0,0.0355
hanseniase,lgbm,origin_201912,6,precip_l3,204.0,0.034
hanseniase,lgbm,origin_201912,6,precip_l12,214.0,0.035666666666666666
hanseniase,lgbm,origin_201912,6,temp_min_l0,196.0,0.03266666666666666
hanseniase,lgbm,origin_201912,6,temp_min_l1,158.0,0.026333333333333334
hanseniase,lgbm,origin_201912,6,temp_min_l3,203.0,0.03383333333333333
hanseniase,lgbm,origin_201912,6,temp_min_l12,152.0,0.025333333333333333
hanseniase,lgbm,origin_201912,6,temp_max_l0,167.0,0.027833333333333335
hanseniase,lgbm,origin_201912,6,temp_max_l1,205.0,0.034166666666666665
hanseniase,lgbm,origin_201912,6,temp_max_l3,152.0,0.025333333333333333
hanseniase,lgbm,origin_201912,6,temp_max_l12,197.0,0.03283333333333333
hanseniase,lgbm,origin_201912,6,umid_l0,251.0,0.041833333333333333
hanseniase,lgbm,origin_201912,6,umid_l1,206.0,0.034333333333333334
hanseniase,lgbm,origin_201912,6,umid_l3,213.0,0.0355
hanseniase,lgbm,origin_201912,6,umid_l12,160.0,0.02666666666666667
hanseniase,lgbm,origin_201912,6,populacao,364.0,0.06066666666666667
hanseniase,lgbm,origin_201912,6,dens_demog,235.0,0.03916666666666667
hanseniase,lgbm,origin_201912,6,ppc,325.0,0.05416666666666667
hanseniase,lgbm,origin_201912,6,urbanizacao,177.0,0.0295
hanseniase,lgbm,origin_201912,6,tgt_month,89.0,0.014833333333333334
hanseniase,lgbm,origin_201912,6,mun_id,285.0,0.0475
hanseniase,catboost,origin_201912,6,n_hanseniase_l0,3.919962653510915,0.03919962653510916
hanseniase,catboost,origin_201912,6,n_hanseniase_l1,1.968919153237929,0.019689191532379295
hanseniase,catboost,origin_201912,6,n_hanseniase_l2,1.1284384581440599,0.0112843845814406
hanseniase,catboost,origin_201912,6,n_hanseniase_l3,3.3676586826563137,0.03367658682656314
hanseniase,catboost,origin_201912,6,n_hanseniase_l6,1.8110200668587664,0.018110200668587668
hanseniase,catboost,origin_201912,6,n_hanseniase_l12,0.9159403315401202,0.009159403315401203
hanseniase,catboost,origin_201912,6,n_hanseniase_l13,2.2811156695138917,0.02281115669513892
hanseniase,catboost,origin_201912,6,n_hanseniase_r3,1.2968177589990906,0.012968177589990908
hanseniase,catboost,origin_201912,6,n_hanseniase_r6,5.43071112514159,0.05430711125141591
hanseniase,catboost,origin_201912,6,n_hanseniase_r12,14.107628411846045,0.14107628411846046
hanseniase,catboost,origin_201912,6,evapot_l0,1.2809954637512813,0.012809954637512815
hanseniase,catboost,origin_201912,6,evapot_l1,1.3510366733493981,0.013510366733493984
hanseniase,catboost,origin_201912,6,evapot_l3,0.7608361274869657,0.007608361274869658
hanseniase,catboost,origin_201912,6,evapot_l12,1.4685328677652345,0.014685328677652347
hanseniase,catboost,origin_201912,6,precip_l0,1.912276489066261,0.019122764890662614
hanseniase,catboost,origin_201912,6,precip_l1,1.4564440180819014,0.014564440180819016
hanseniase,catboost,origin_201912,6,precip_l3,1.2799767159775002,0.012799767159775004
hanseniase,catboost,origin_201912,6,precip_l12,1.4459066778585339,0.014459066778585342
hanseniase,catboost,origin_201912,6,temp_min_l0,2.4440815936214464,0.024440815936214468
hanseniase,catboost,origin_201912,6,temp_min_l1,1.4771762218192634,0.014771762218192637
hanseniase,catboost,origin_201912,6,temp_min_l3,2.3444345369887314,0.023444345369887317
hanseniase,catboost,origin_201912,6,temp_min_l12,2.1036080543592326,0.02103608054359233
hanseniase,catboost,origin_201912,6,temp_max_l0,1.9429551577114839,0.019429551577114842
hanseniase,catboost,origin_201912,6,temp_max_l1,2.234825422083679,0.02234825422083679
hanseniase,catboost,origin_201912,6,temp_max_l3,1.2978306532940085,0.012978306532940086
hanseniase,catboost,origin_201912,6,temp_max_l12,2.5156938295712767,0.02515693829571277
hanseniase,catboost,origin_201912,6,umid_l0,2.673964229205846,0.026739642292058465
hanseniase,catboost,origin_201912,6,umid_l1,1.845277985220121,0.018452779852201215
hanseniase,catboost,origin_201912,6,umid_l3,2.4079283858559712,0.024079283858559716
hanseniase,catboost,origin_201912,6,umid_l12,1.097806481030178,0.010978064810301781
hanseniase,catboost,origin_201912,6,populacao,4.584058159071568,0.04584058159071569
hanseniase,catboost,origin_201912,6,dens_demog,3.5035656268560076,0.03503565626856008
hanseniase,catboost,origin_201912,6,ppc,8.845251983740651,0.08845251983740653
hanseniase,catboost,origin_201912,6,urbanizacao,5.604613808205332,0.056046138082053325
hanseniase,catboost,origin_201912,6,tgt_month,0.34078386698571694,0.00340783866985717
hanseniase,catboost,origin_201912,6,mun_id,5.551926659593693,0.05551926659593694
hanseniase,xgboost,origin_201912,6,n_hanseniase_l0,0.046269629150629044,0.046269625425338745
hanseniase,xgboost,origin_201912,6,n_hanseniase_l1,0.12698455154895782,0.12698453664779663
hanseniase,xgboost,origin_201912,6,n_hanseniase_l2,0.0026197247207164764,0.002619724487885833
hanseniase,xgboost,origin_201912,6,n_hanseniase_l3,0.005697100423276424,0.005697099957615137
hanseniase,xgboost,origin_201912,6,n_hanseniase_l6,0.00247938116081059,0.002479380927979946
hanseniase,xgboost,origin_201912,6,n_hanseniase_l12,0.0015860465355217457,0.001586046302691102
hanseniase,xgboost,origin_201912,6,n_hanseniase_l13,0.002602543216198683,0.002602542983368039
hanseniase,xgboost,origin_201912,6,n_hanseniase_r3,0.27275994420051575,0.27275991439819336
hanseniase,xgboost,origin_201912,6,n_hanseniase_r6,0.14168187975883484,0.14168186485767365
hanseniase,xgboost,origin_201912,6,n_hanseniase_r12,0.16402821242809296,0.16402819752693176
hanseniase,xgboost,origin_201912,6,evapot_l0,0.001774784061126411,0.0017747838282957673
hanseniase,xgboost,origin_201912,6,evapot_l1,0.0024183487985283136,0.00241834856569767
hanseniase,xgboost,origin_201912,6,evapot_l3,0.0022717472165822983,0.0022717469837516546
hanseniase,xgboost,origin_201912,6,evapot_l12,0.0025425918865948915,0.002542591653764248
hanseniase,xgboost,origin_201912,6,precip_l0,0.002284982241690159,0.002284982008859515
hanseniase,xgboost,origin_201912,6,precip_l1,0.002212450373917818,0.0022124501410871744
hanseniase,xgboost,origin_201912,6,precip_l3,0.0019133626483380795,0.0019133624155074358
hanseniase,xgboost,origin_201912,6,precip_l12,0.0021091399248689413,0.0021091396920382977
hanseniase,xgboost,origin_201912,6,temp_min_l0,0.0025775497779250145,0.002577549545094371
hanseniase,xgboost,origin_201912,6,temp_min_l1,0.0024130463134497404,0.0024130460806190968
hanseniase,xgboost,origin_201912,6,temp_min_l3,0.002343914471566677,0.0023439142387360334
hanseniase,xgboost,origin_201912,6,temp_min_l12,0.0025169795844703913,0.0025169793516397476
hanseniase,xgboost,origin_201912,6,temp_max_l0,0.002229453297331929,0.0022294530645012856
hanseniase,xgboost,origin_201912,6,temp_max_l1,0.002486415905877948,0.002486415673047304
hanseniase,xgboost,origin_201912,6,temp_max_l3,0.0019420151365920901,0.0019420149037614465
hanseniase,xgboost,origin_201912,6,temp_max_l12,0.0028380639851093292,0.0028380637522786856
hanseniase,xgboost,origin_201912,6,umid_l0,0.002409234642982483,0.0024092344101518393
hanseniase,xgboost,origin_201912,6,umid_l1,0.0022688477765768766,0.002268847543746233
hanseniase,xgboost,origin_201912,6,umid_l3,0.0020838866475969553,0.0020838864147663116
hanseniase,xgboost,origin_201912,6,umid_l12,0.001901791081763804,0.0019017908489331603
hanseniase,xgboost,origin_201912,6,populacao,0.0032631861977279186,0.0032631857320666313
hanseniase,xgboost,origin_201912,6,dens_demog,0.003735113888978958,0.003735113423317671
hanseniase,xgboost,origin_201912,6,ppc,0.006660354323685169,0.006660353392362595
hanseniase,xgboost,origin_201912,6,urbanizacao,0.005071146413683891,0.005071145948022604
hanseniase,xgboost,origin_201912,6,tgt_month,0.0024471746291965246,0.002447174396365881
hanseniase,xgboost,origin_201912,6,mun_id,0.16657546162605286,0.16657544672489166
hanseniase,lgbm,origin_201912,12,n_hanseniase_l0,59.0,0.009833333333333333
hanseniase,lgbm,origin_201912,12,n_hanseniase_l1,32.0,0.005333333333333333
