disease,feature,importance_norm
sifilis,n_sifilis_r3,0.0809914117402521
sifilis,n_sifilis_r6,0.1859227386433653
sifilis,populacao,0.05781269191931345
sifilis,ppc,0.029728641285843262
sifilis,precip_l0,0.01508701819749493
sifilis,precip_l1,0.01446866022808388
sifilis,precip_l12,0.016319161402469317
sifilis,precip_l3,0.01601071284360416
sifilis,temp_max_l0,0.012097686984592066
sifilis,temp_max_l1,0.011894646589821327
sifilis,temp_max_l12,0.011867798731437174
sifilis,temp_max_l3,0.013614351808069117
sifilis,temp_min_l0,0.012308780425530673
sifilis,temp_min_l1,0.012850573388344487
sifilis,temp_min_l12,0.01434685448201164
sifilis,temp_min_l3,0.013556041804345437
sifilis,tgt_month,0.00960677176386349
sifilis,umid_l0,0.013065236190490444
sifilis,umid_l1,0.014113453268954967
sifilis,umid_l12,0.015077657504937935
sifilis,umid_l3,0.0150430107902597
sifilis,urbanizacao,0.02440733160753096
tuberculose,dens_demog,0.02201196738310231
tuberculose,evapot_l0,0.007922228316346548
tuberculose,evapot_l1,0.008084829895582988
tuberculose,evapot_l12,0.008158380895828316
tuberculose,evapot_l3,0.009525866871153392
tuberculose,mun_id,0.044699517643459
tuberculose,n_tuberculose_l0,0.06281244577416543
tuberculose,n_tuberculose_l1,0.027652896906882243
tuberculose,n_tuberculose_l12,0.012242219283357435
tuberculose,n_tuberculose_l13,0.021172104546379935
tuberculose,n_tuberculose_l2,0.015975237490763256
tuberculose,n_tuberculose_l3,0.014618869364037933
tuberculose,n_tuberculose_l6,0.013892692004448738
tuberculose,n_tuberculose_r12,0.11038474684468685
tuberculose,n_tuberculose_r3,0.16723607328644907
tuberculose,n_tuberculose_r6,0.1545232580699334
tuberculose,populacao,0.03573135085805524
tuberculose,ppc,0.051474158958870316
tuberculose,precip_l0,0.012199064017702361
tuberculose,precip_l1,0.010756368525234062
tuberculose,precip_l12,0.013000130555750175
tuberculose,precip_l3,0.012189240159134774
tuberculose,temp_max_l0,0.008945208223050035
tuberculose,temp_max_l1,0.008271451390041614
tuberculose,temp_max_l12,0.010649317256666584
tuberculose,temp_max_l3,0.009966891329647428
tuberculose,temp_min_l0,0.009970307001881768
tuberculose,temp_min_l1,0.009402995170764608
tuberculose,temp_min_l12,0.010347105316947576
tuberculose,temp_min_l3,0.012001892747735395
tuberculose,tgt_month,0.00773816948230751
tuberculose,umid_l0,0.014202147429190548
tuberculose,umid_l1,0.013081095492385448
tuberculose,umid_l12,0.012510798519517924
tuberculose,umid_l3,0.013832667117231223
tuberculose,urbanizacao,0.022816306587988815
