disease,origin,horizon,variant,mae,rmse
hanseniase,origin_201912,1,full,0.5690209294601146,1.3230119193782026
hanseniase,origin_201912,1,sem_clima,0.6112355982715354,1.3252467840830677
hanseniase,origin_201912,3,full,0.539422976686403,0.954325469168192
hanseniase,origin_201912,3,sem_clima,0.5618757169593149,0.9472047780007388
hanseniase,origin_201912,6,full,0.5220637618963452,1.2314931601573385
hanseniase,origin_201912,6,sem_clima,0.486790107864283,1.0277678275957656
hanseniase,origin_201912,12,full,0.38275569351568367,0.9332011102846175
hanseniase,origin_201912,12,sem_clima,0.4270646249878731,1.0505872229230175
hanseniase,origin_202012,1,full,0.27748919641871495,0.6976805357875754
hanseniase,origin_202012,1,sem_clima,0.34418574253476963,0.7793951584787042
hanseniase,origin_202012,3,full,0.2358324073856986,0.3827472064669807
hanseniase,origin_202012,3,sem_clima,0.3351774364482353,0.5474669570781909
hanseniase,origin_202012,6,full,0.29186816782614317,0.4699692392911457
hanseniase,origin_202012,6,sem_clima,0.3141457758752067,0.5816305952101037
hanseniase,origin_202012,12,full,0.5041799006118238,0.7459191476975805
hanseniase,origin_202012,12,sem_clima,0.5285670382673509,0.7840130347041818
hanseniase,origin_202112,1,full,0.27180389140613614,0.5243736922547299
hanseniase,origin_202112,1,sem_clima,0.2606287505781161,0.4865573503631772
hanseniase,origin_202112,3,full,0.47618421339310346,0.6919633571540704
hanseniase,origin_202112,3,sem_clima,0.5124714105009545,0.7814161387432395
hanseniase,origin_202112,6,full,0.8953887697604569,3.417813784505867
hanseniase,origin_202112,6,sem_clima,0.8231906460574593,3.062516212278579
hanseniase,origin_202112,12,full,0.40315905582137346,0.5981859898581845
hanseniase,origin_202112,12,sem_clima,0.43170770955128435,0.6439353460117883
hanseniase,origin_202212,1,full,0.2673497481894257,0.4101574231411508
hanseniase,origin_202212,1,sem_clima,0.24989861305688282,0.38703620336836086
hanseniase,origin_202212,3,full,0.45477912591161973,0.8662572926436621
hanseniase,origin_202212,3,sem_clima,0.4682241204525543,0.9157847087847697
hanseniase,origin_202212,6,full,0.3496701682483043,0.5564934829868772
hanseniase,origin_202212,6,sem_clima,0.3206228069995964,0.540240630878682
hanseniase,origin_202212,12,full,0.3287839176332261,0.5245157680005883
hanseniase,origin_202212,12,sem_clima,0.3383068196395306,0.5894788031571104
hepatite,origin_201912,1,full,0.36091675475640406,0.8221280157407624
hepatite,origin_201912,1,sem_clima,0.34188252580187944,0.7782108843732646
hepatite,origin_201912,3,full,0.1159547920710861,0.18772757314315797
hepatite,origin_201912,3,sem_clima,0.13832953264553985,0.2222063161478789
hepatite,origin_201912,6,full,0.33158450747389795,0.638006163353195
hepatite,origin_201912,6,sem_clima,0.3215857648510382,0.5982774238767428
hepatite,origin_201912,12,full,0.232713458250076,0.49578446215599287
hepatite,origin_201912,12,sem_clima,0.22233353858174196,0.4886699355997448
hepatite,origin_202012,1,full,0.23715139522943665,0.49041668125282795
hepatite,origin_202012,1,sem_clima,0.21466861081061292,0.3967391580962365
hepatite,origin_202012,3,full,0.17419575284468178,0.31900012738945044
hepatite,origin_202012,3,sem_clima,0.19184598018490756,0.3370576325038601
hepatite,origin_202012,6,full,0.11419409334373186,0.22114769238961696
hepatite,origin_202012,6,sem_clima,0.12329680844191021,0.24131190172782008
hepatite,origin_202012,12,full,0.2501729340409051,0.45334864255378204
hepatite,origin_202012,12,sem_clima,0.2169046443396261,0.4420783840477189
hepatite,origin_202112,1,full,0.15188403222362115,0.3102219495392135
hepatite,origin_202112,1,sem_clima,0.16080716832109376,0.3179888748451794
hepatite,origin_202112,3,full,0.5132254949266281,1.4696493080532638
hepatite,origin_202112,3,sem_clima,0.44922533716036267,1.3696786261699556
hepatite,origin_202112,6,full,0.27599152310740344,0.5214099607470604
hepatite,origin_202112,6,sem_clima,0.29463150200862176,0.542888843318443
hepatite,origin_202112,12,full,0.4366266444146902,1.400503882240846
hepatite,origin_202112,12,sem_clima,0.4559229664845977,1.4741398584933876
hepatite,origin_202212,1,full,0.20614557923740032,0.536033181336972
hepatite,origin_202212,1,sem_clima,0.18322058095786048,0.43500164763051435
hepatite,origin_202212,3,full,0.3737373192691277,1.2433440041843633
hepatite,origin_202212,3,sem_clima,0.32560583257139336,1.0238990696606087
hepatite,origin_202212,6,full,0.33401124397684273,0.7045034350730645
hepatite,origin_202212,6,sem_clima,0.32062844943275975,0.6915732481393411
hepatite,origin_202212,12,full,0.10743370989386437,0.20911240797083314
hepatite,origin_202212,12,sem_clima,0.11138837450306517,0.21401526863050727
hiv_aids,origin_201912,1,full,3.097072249679667,8.03759717257789
hiv_aids,origin_201912,1,sem_clima,3.3518028612364885,9.582398762410902
hiv_aids,origin_201912,3,full,3.448589418723762,7.391119006926871
hiv_aids,origin_201912,3,sem_clima,3.534987925541181,8.029318455669804
hiv_aids,origin_201912,6,full,4.6775504911395025,9.426432531867995
hiv_aids,origin_201912,6,sem_clima,4.8109665438699265,9.994162198756912
hiv_aids,origin_201912,12,full,4.6719879877695805,7.83032979790127
hiv_aids,origin_201912,12,sem_clima,4.125279622217863,6.572770589113374
hiv_aids,origin_202012,1,full,1.9806072463164643,2.558461168361401
hiv_aids,origin_202012,1,sem_clima,1.9776217347321312,2.611085861983302
hiv_aids,origin_202012,3,full,1.6470455292342914,2.091128466168563
hiv_aids,origin_202012,3,sem_clima,1.8608963362426427,2.9756045554325024
hiv_aids,origin_202012,6,full,1.367656872855258,1.5896474230981688
hiv_aids,origin_202012,6,sem_clima,1.6735136409520508,2.3843279383876053
hiv_aids,origin_202012,12,full,2.3283655879486767,3.7911270354558804
hiv_aids,origin_202012,12,sem_clima,2.3309643373046596,4.483383561667925
hiv_aids,origin_202112,1,full,2.745596302346219,7.40365986217967
hiv_aids,origin_202112,1,sem_clima,2.9425763943106062,8.443917141159107
hiv_aids,origin_202112,3,full,1.715397828100156,2.6853171858646645
hiv_aids,origin_202112,3,sem_clima,2.01670234658386,3.58261238472855
hiv_aids,origin_202112,6,full,1.5158617206577112,2.153397255092239
hiv_aids,origin_202112,6,sem_clima,1.8133640539270883,2.843863517918888
hiv_aids,origin_202112,12,full,3.0996761596256954,7.332425431379477
hiv_aids,origin_202112,12,sem_clima,2.8579626307990984,6.170019983598554
hiv_aids,origin_202212,1,full,2.643445968376814,5.148423804501115
hiv_aids,origin_202212,1,sem_clima,2.8437773152732984,5.593594179297099
hiv_aids,origin_202212,3,full,1.9724535752637025,3.0030886901709257
hiv_aids,origin_202212,3,sem_clima,1.7062187036958998,2.3463656680564333
hiv_aids,origin_202212,6,full,1.7403989982943213,2.9452967213711454
hiv_aids,origin_202212,6,sem_clima,1.6176597766959362,2.531572637606021
